Episode, Reward, Steps, Loss, Entropy
128.0000,10.0000,10.0000,6.0918,0.1721
129.0000,9.0000,9.0000,5.8448,0.1809
130.0000,10.0000,10.0000,5.9544,0.1697
131.0000,9.0000,9.0000,5.7701,0.1741
132.0000,9.0000,9.0000,5.6571,0.1766
133.0000,13.0000,13.0000,3.2695,0.2657
134.0000,10.0000,10.0000,5.6259,0.1637
135.0000,13.0000,13.0000,4.9172,0.2094
136.0000,10.0000,10.0000,5.5673,0.1565
137.0000,13.0000,13.0000,3.9792,0.2629
138.0000,9.0000,9.0000,5.2052,0.1743
139.0000,10.0000,10.0000,5.2741,0.1616
140.0000,11.0000,11.0000,3.4525,0.1925
141.0000,9.0000,9.0000,5.0711,0.1680
142.0000,11.0000,11.0000,5.2133,0.1479
143.0000,9.0000,9.0000,4.9778,0.1647
144.0000,10.0000,10.0000,5.0486,0.1515
145.0000,8.0000,8.0000,4.8666,0.1702
146.0000,15.0000,15.0000,3.9437,0.2311
147.0000,10.0000,10.0000,4.7986,0.1542
148.0000,9.0000,9.0000,4.7409,0.1571
149.0000,10.0000,10.0000,4.6903,0.1512
150.0000,8.0000,8.0000,4.5839,0.1718
151.0000,10.0000,10.0000,3.7123,0.1490
152.0000,10.0000,10.0000,4.4746,0.1508
153.0000,9.0000,9.0000,4.4374,0.1557
154.0000,9.0000,9.0000,4.3663,0.1604
155.0000,11.0000,11.0000,4.3261,0.1399
156.0000,9.0000,9.0000,4.3105,0.1482
157.0000,19.0000,19.0000,2.8582,0.3057
158.0000,10.0000,10.0000,4.1560,0.1478
159.0000,11.0000,11.0000,3.5428,0.1834
160.0000,8.0000,8.0000,4.1183,0.1575
161.0000,13.0000,13.0000,3.5338,0.1836
162.0000,9.0000,9.0000,3.9443,0.1527
163.0000,16.0000,16.0000,2.8312,0.2575
164.0000,10.0000,10.0000,3.8075,0.1352
165.0000,8.0000,8.0000,3.8736,0.1525
166.0000,9.0000,9.0000,3.7703,0.1418
167.0000,8.0000,8.0000,3.7762,0.1484
168.0000,10.0000,10.0000,3.4898,0.1389
169.0000,10.0000,10.0000,3.4466,0.1387
170.0000,9.0000,9.0000,3.5115,0.1379
171.0000,9.0000,9.0000,3.4362,0.1468
172.0000,9.0000,9.0000,3.3984,0.1427
173.0000,9.0000,9.0000,3.2636,0.1331
174.0000,10.0000,10.0000,3.1312,0.1304
175.0000,10.0000,10.0000,3.1063,0.1332
176.0000,9.0000,9.0000,2.9644,0.1599
177.0000,10.0000,10.0000,2.9295,0.1356
178.0000,10.0000,10.0000,2.8854,0.1352
179.0000,10.0000,10.0000,2.7805,0.1254
180.0000,10.0000,10.0000,2.8006,0.1355
181.0000,9.0000,9.0000,2.8487,0.1400
182.0000,9.0000,9.0000,2.7443,0.1335
183.0000,9.0000,9.0000,2.7405,0.1353
184.0000,10.0000,10.0000,2.5416,0.1312
185.0000,10.0000,10.0000,2.4732,0.1192
186.0000,8.0000,8.0000,2.8554,0.1495
187.0000,10.0000,10.0000,2.3520,0.1258
188.0000,11.0000,11.0000,2.2756,0.1266
189.0000,9.0000,9.0000,2.4437,0.1274
190.0000,10.0000,10.0000,2.2819,0.1304
191.0000,10.0000,10.0000,2.3106,0.1714
192.0000,10.0000,10.0000,2.2474,0.1287
193.0000,9.0000,9.0000,2.3026,0.1294
194.0000,11.0000,11.0000,2.0351,0.1479
195.0000,9.0000,9.0000,2.2446,0.1346
196.0000,10.0000,10.0000,2.0180,0.1162
197.0000,9.0000,9.0000,2.0975,0.1230
198.0000,9.0000,9.0000,2.0740,0.1297
199.0000,9.0000,9.0000,2.0250,0.1274
200.0000,8.0000,8.0000,2.2341,0.1327
201.0000,12.0000,12.0000,1.6920,0.1268
202.0000,12.0000,12.0000,1.6483,0.1668
203.0000,10.0000,10.0000,1.6943,0.1180
204.0000,11.0000,11.0000,1.5485,0.1145
205.0000,9.0000,9.0000,1.8937,0.1235
206.0000,10.0000,10.0000,1.6349,0.1201
207.0000,8.0000,8.0000,2.0846,0.1335
208.0000,13.0000,13.0000,1.6202,0.1908
209.0000,9.0000,9.0000,1.7830,0.1213
210.0000,12.0000,12.0000,1.4025,0.1488
211.0000,9.0000,9.0000,1.7513,0.1253
212.0000,9.0000,9.0000,1.5219,0.1131
213.0000,9.0000,9.0000,1.6004,0.1189
214.0000,8.0000,8.0000,1.8458,0.1319
215.0000,13.0000,13.0000,1.1477,0.1507
216.0000,11.0000,11.0000,1.4013,0.1623
217.0000,12.0000,12.0000,1.2464,0.1573
218.0000,10.0000,10.0000,1.5718,0.1465
219.0000,10.0000,10.0000,1.1639,0.1157
220.0000,11.0000,11.0000,1.2725,0.1595
221.0000,9.0000,9.0000,1.2743,0.1211
222.0000,14.0000,14.0000,1.0924,0.2012
223.0000,11.0000,11.0000,0.8680,0.1066
224.0000,12.0000,12.0000,0.9782,0.1381
225.0000,10.0000,10.0000,0.9891,0.1138
226.0000,9.0000,9.0000,1.0613,0.1102
227.0000,8.0000,8.0000,1.4825,0.1248
228.0000,10.0000,10.0000,0.9635,0.1104
229.0000,11.0000,11.0000,1.2489,0.1258
230.0000,11.0000,11.0000,1.1847,0.1507
231.0000,9.0000,9.0000,1.0580,0.1136
232.0000,8.0000,8.0000,1.3540,0.1277
233.0000,9.0000,9.0000,1.0740,0.1175
234.0000,9.0000,9.0000,0.9262,0.1168
235.0000,10.0000,10.0000,0.7205,0.1095
236.0000,10.0000,10.0000,1.1869,0.1586
237.0000,10.0000,10.0000,0.6248,0.1083
238.0000,12.0000,12.0000,1.1556,0.1866
239.0000,10.0000,10.0000,0.6165,0.1125
240.0000,8.0000,8.0000,1.0180,0.1233
241.0000,9.0000,9.0000,0.6761,0.1190
242.0000,9.0000,9.0000,0.5804,0.1130
243.0000,12.0000,12.0000,0.7037,0.1535
244.0000,10.0000,10.0000,0.4721,0.1117
245.0000,8.0000,8.0000,0.8422,0.1272
246.0000,9.0000,9.0000,0.5508,0.1126
247.0000,8.0000,8.0000,0.7216,0.1246
248.0000,9.0000,9.0000,0.3895,0.1105
249.0000,11.0000,11.0000,0.7802,0.1297
250.0000,9.0000,9.0000,0.3368,0.1093
251.0000,10.0000,10.0000,0.2981,0.1087
252.0000,10.0000,10.0000,0.2967,0.1101
253.0000,9.0000,9.0000,0.3324,0.1114
254.0000,11.0000,11.0000,0.7071,0.1624
255.0000,9.0000,9.0000,0.3606,0.1178
256.0000,9.0000,9.0000,0.3487,0.1203
257.0000,9.0000,9.0000,0.3282,0.1116
258.0000,10.0000,10.0000,0.2602,0.1139
259.0000,11.0000,11.0000,0.2271,0.1037
