Episode, Reward, Steps, Loss, Entropy
112.0000,399.0000,399.0000,0.8443,0.5631
113.0000,442.0000,442.0000,0.8443,0.5631
114.0000,333.0000,333.0000,0.8443,0.5631
115.0000,374.0000,374.0000,0.5106,0.5724
116.0000,145.0000,145.0000,0.5106,0.5724
117.0000,202.0000,202.0000,0.5106,0.5724
118.0000,198.0000,198.0000,0.5106,0.5724
119.0000,239.0000,239.0000,0.5106,0.5724
120.0000,435.0000,435.0000,0.4975,0.5755
121.0000,267.0000,267.0000,0.4975,0.5755
122.0000,205.0000,205.0000,0.4975,0.5755
123.0000,264.0000,264.0000,0.4975,0.5755
124.0000,341.0000,341.0000,0.4975,0.5755
125.0000,323.0000,323.0000,0.4817,0.5808
126.0000,198.0000,198.0000,0.4817,0.5808
127.0000,452.0000,452.0000,0.4817,0.5808
128.0000,333.0000,333.0000,0.4817,0.5808
129.0000,500.0000,500.0000,0.4817,0.5808
130.0000,178.0000,178.0000,0.5017,0.5857
131.0000,419.0000,419.0000,0.5017,0.5857
132.0000,83.0000,83.0000,0.5017,0.5857
133.0000,117.0000,117.0000,0.5017,0.5857
134.0000,192.0000,192.0000,0.5017,0.5857
135.0000,361.0000,361.0000,0.5578,0.5741
136.0000,265.0000,265.0000,0.5578,0.5741
137.0000,26.0000,26.0000,0.5578,0.5741
138.0000,196.0000,196.0000,0.5578,0.5741
139.0000,105.0000,105.0000,0.5578,0.5741
140.0000,500.0000,500.0000,0.5230,0.5693
141.0000,240.0000,240.0000,0.5230,0.5693
142.0000,286.0000,286.0000,0.5230,0.5693
143.0000,112.0000,112.0000,0.5230,0.5693
144.0000,362.0000,362.0000,0.5230,0.5693
145.0000,244.0000,244.0000,0.3704,0.5686
146.0000,232.0000,232.0000,0.3704,0.5686
147.0000,500.0000,500.0000,0.3704,0.5686
148.0000,120.0000,120.0000,0.3704,0.5686
149.0000,462.0000,462.0000,0.3704,0.5686
150.0000,134.0000,134.0000,0.4755,0.5567
151.0000,243.0000,243.0000,0.4755,0.5567
152.0000,500.0000,500.0000,0.4755,0.5567
153.0000,381.0000,381.0000,0.4755,0.5567
154.0000,500.0000,500.0000,0.4755,0.5567
155.0000,500.0000,500.0000,0.7391,0.5641
156.0000,500.0000,500.0000,0.7391,0.5641
157.0000,329.0000,329.0000,0.7391,0.5641
158.0000,253.0000,253.0000,0.7391,0.5641
159.0000,230.0000,230.0000,0.7391,0.5641
160.0000,440.0000,440.0000,0.7416,0.5717
161.0000,204.0000,204.0000,0.7416,0.5717
162.0000,186.0000,186.0000,0.7416,0.5717
163.0000,500.0000,500.0000,0.7416,0.5717
164.0000,204.0000,204.0000,0.7416,0.5717
165.0000,307.0000,307.0000,0.4086,0.5687
166.0000,500.0000,500.0000,0.4086,0.5687
167.0000,180.0000,180.0000,0.4086,0.5687
168.0000,147.0000,147.0000,0.4086,0.5687
169.0000,175.0000,175.0000,0.4086,0.5687
