Episode, Reward, Steps, Loss, Entropy
125.0000,127.0000,127.0000,-1.2179,0.5317
126.0000,225.0000,225.0000,-1.9244,0.5587
127.0000,94.0000,94.0000,4.1207,0.5464
128.0000,289.0000,289.0000,-3.9994,0.5783
129.0000,326.0000,326.0000,-3.8075,0.5580
130.0000,145.0000,145.0000,-5.4302,0.5632
131.0000,90.0000,90.0000,-2.4051,0.5453
132.0000,126.0000,126.0000,-2.3125,0.5505
133.0000,204.0000,204.0000,2.5914,0.5707
134.0000,56.0000,56.0000,-6.1442,0.5365
135.0000,168.0000,168.0000,7.2921,0.5595
136.0000,239.0000,239.0000,0.0577,0.5552
137.0000,157.0000,157.0000,0.9719,0.5804
138.0000,169.0000,169.0000,-9.4437,0.5293
139.0000,177.0000,177.0000,-0.4107,0.5408
140.0000,179.0000,179.0000,-5.9714,0.5316
141.0000,312.0000,312.0000,-5.6416,0.5626
142.0000,130.0000,130.0000,0.7981,0.5473
143.0000,190.0000,190.0000,-6.9252,0.5277
144.0000,135.0000,135.0000,5.1387,0.5574
145.0000,144.0000,144.0000,0.0143,0.5638
146.0000,198.0000,198.0000,-0.5115,0.5543
147.0000,162.0000,162.0000,-1.1233,0.5412
148.0000,176.0000,176.0000,-2.6195,0.5625
149.0000,134.0000,134.0000,2.5386,0.5375
150.0000,149.0000,149.0000,-2.5609,0.5602
151.0000,137.0000,137.0000,-3.3913,0.5648
152.0000,124.0000,124.0000,4.0827,0.5536
153.0000,127.0000,127.0000,-2.4375,0.5520
154.0000,160.0000,160.0000,-4.3298,0.5581
155.0000,131.0000,131.0000,-7.3960,0.5650
156.0000,182.0000,182.0000,-5.1452,0.5372
157.0000,126.0000,126.0000,-4.9386,0.5560
158.0000,144.0000,144.0000,-2.3624,0.5443
159.0000,120.0000,120.0000,-5.5702,0.5439
160.0000,131.0000,131.0000,0.5513,0.5475
161.0000,117.0000,117.0000,-1.5042,0.5451
162.0000,128.0000,128.0000,-3.4003,0.5343
163.0000,120.0000,120.0000,-4.3961,0.5441
164.0000,104.0000,104.0000,-1.9059,0.5499
165.0000,167.0000,167.0000,-12.8324,0.5293
166.0000,32.0000,32.0000,-0.0961,0.4919
167.0000,95.0000,95.0000,2.0290,0.5260
168.0000,106.0000,106.0000,2.2837,0.5435
169.0000,53.0000,53.0000,2.1284,0.5473
170.0000,83.0000,83.0000,1.7699,0.5439
171.0000,53.0000,53.0000,0.6990,0.5361
172.0000,42.0000,42.0000,-1.6489,0.5636
173.0000,45.0000,45.0000,0.4934,0.5398
174.0000,26.0000,26.0000,-3.2334,0.4756
175.0000,58.0000,58.0000,0.9113,0.5477
176.0000,47.0000,47.0000,0.5230,0.5338
177.0000,28.0000,28.0000,-1.6129,0.5511
178.0000,70.0000,70.0000,-1.6011,0.5523
179.0000,31.0000,31.0000,2.8436,0.5015
180.0000,41.0000,41.0000,0.6214,0.5297
181.0000,53.0000,53.0000,-5.6518,0.5280
182.0000,37.0000,37.0000,-1.2738,0.5300
183.0000,53.0000,53.0000,-0.5695,0.5381
184.0000,52.0000,52.0000,-1.1224,0.5250
185.0000,56.0000,56.0000,1.6480,0.5049
186.0000,44.0000,44.0000,1.7414,0.5315
187.0000,51.0000,51.0000,1.5306,0.4891
188.0000,59.0000,59.0000,1.8313,0.5631
189.0000,65.0000,65.0000,2.2018,0.5342
190.0000,72.0000,72.0000,0.0443,0.5488
191.0000,49.0000,49.0000,0.3260,0.5369
192.0000,83.0000,83.0000,-2.5917,0.5277
193.0000,70.0000,70.0000,-1.3428,0.5034
194.0000,54.0000,54.0000,-0.3887,0.5050
195.0000,76.0000,76.0000,-0.2828,0.5253
196.0000,112.0000,112.0000,2.4569,0.5187
197.0000,51.0000,51.0000,-1.2425,0.4718
198.0000,98.0000,98.0000,-1.0677,0.5113
199.0000,60.0000,60.0000,-0.7221,0.4895
200.0000,125.0000,125.0000,1.9821,0.4969
201.0000,108.0000,108.0000,-0.4975,0.5083
202.0000,85.0000,85.0000,3.9264,0.5035
203.0000,134.0000,134.0000,4.8633,0.4764
204.0000,68.0000,68.0000,0.9544,0.4844
205.0000,175.0000,175.0000,-3.3604,0.5088
206.0000,74.0000,74.0000,-8.4596,0.4863
207.0000,162.0000,162.0000,-5.9441,0.5025
208.0000,103.0000,103.0000,-1.2356,0.4956
209.0000,117.0000,117.0000,-7.9278,0.4964
210.0000,112.0000,112.0000,7.4509,0.4930
211.0000,275.0000,275.0000,-2.0701,0.4722
212.0000,96.0000,96.0000,0.5571,0.5358
213.0000,172.0000,172.0000,-5.8927,0.5108
214.0000,138.0000,138.0000,1.9797,0.4984
215.0000,105.0000,105.0000,-4.7311,0.4925
216.0000,124.0000,124.0000,-1.9811,0.5058
217.0000,114.0000,114.0000,-3.8280,0.5371
218.0000,46.0000,46.0000,0.7045,0.4102
219.0000,108.0000,108.0000,2.5672,0.4710
220.0000,103.0000,103.0000,-3.8827,0.4780
221.0000,105.0000,105.0000,-5.3302,0.4765
222.0000,99.0000,99.0000,-0.5225,0.5257
223.0000,102.0000,102.0000,-4.2884,0.5021
224.0000,73.0000,73.0000,-3.1610,0.4666
225.0000,118.0000,118.0000,5.4461,0.4997
226.0000,136.0000,136.0000,-2.9665,0.4965
227.0000,133.0000,133.0000,0.6187,0.4762
228.0000,117.0000,117.0000,-7.0705,0.4775
229.0000,121.0000,121.0000,1.1435,0.4960
230.0000,104.0000,104.0000,-9.9031,0.4690
231.0000,171.0000,171.0000,1.0957,0.4915
232.0000,111.0000,111.0000,-3.0424,0.5151
233.0000,101.0000,101.0000,-4.9037,0.4780
234.0000,129.0000,129.0000,1.7078,0.5026
235.0000,136.0000,136.0000,-2.6552,0.4991
236.0000,148.0000,148.0000,0.6103,0.5099
237.0000,171.0000,171.0000,-4.5698,0.5214
238.0000,224.0000,224.0000,1.5921,0.5097
239.0000,159.0000,159.0000,-0.6915,0.5048
240.0000,219.0000,219.0000,-6.0397,0.5015
241.0000,203.0000,203.0000,-0.7339,0.5158
242.0000,242.0000,242.0000,-6.5414,0.5205
243.0000,319.0000,319.0000,2.6378,0.5153
244.0000,301.0000,301.0000,-3.9558,0.5037
245.0000,265.0000,265.0000,1.6618,0.5115
246.0000,232.0000,232.0000,-6.5285,0.5015
247.0000,229.0000,229.0000,-3.8438,0.5288
248.0000,208.0000,208.0000,2.3640,0.5386
249.0000,258.0000,258.0000,2.8416,0.5181
250.0000,252.0000,252.0000,-6.4687,0.5269
251.0000,179.0000,179.0000,-4.6828,0.5364
252.0000,172.0000,172.0000,-0.9633,0.5205
253.0000,347.0000,347.0000,3.0385,0.5105
254.0000,178.0000,178.0000,-3.0953,0.5125
255.0000,144.0000,144.0000,-2.3568,0.5148
256.0000,127.0000,127.0000,-0.9672,0.5193
257.0000,132.0000,132.0000,-3.6015,0.5108
258.0000,116.0000,116.0000,2.9364,0.5175
259.0000,128.0000,128.0000,-3.9565,0.5247
260.0000,119.0000,119.0000,-3.5207,0.5284
261.0000,130.0000,130.0000,2.4900,0.5211
262.0000,36.0000,36.0000,-5.3463,0.4637
263.0000,56.0000,56.0000,0.7386,0.5014
264.0000,98.0000,98.0000,-4.9405,0.5183
265.0000,67.0000,67.0000,-2.4992,0.5064
266.0000,104.0000,104.0000,0.2375,0.4982
267.0000,29.0000,29.0000,-1.3502,0.4300
268.0000,53.0000,53.0000,0.2545,0.4949
269.0000,35.0000,35.0000,-0.1187,0.4488
270.0000,68.0000,68.0000,-1.2832,0.5106
271.0000,34.0000,34.0000,1.7481,0.4583
272.0000,52.0000,52.0000,-2.6782,0.4650
273.0000,57.0000,57.0000,-2.0317,0.5185
274.0000,76.0000,76.0000,-1.3904,0.4896
275.0000,61.0000,61.0000,-0.7001,0.5312
276.0000,40.0000,40.0000,-1.8208,0.4097
277.0000,47.0000,47.0000,2.2512,0.4816
278.0000,69.0000,69.0000,-3.8400,0.4651
279.0000,86.0000,86.0000,-1.0149,0.5031
280.0000,78.0000,78.0000,0.6809,0.5197
281.0000,66.0000,66.0000,1.6772,0.4665
282.0000,43.0000,43.0000,-2.9075,0.4348
283.0000,97.0000,97.0000,6.3134,0.5117
284.0000,95.0000,95.0000,0.0519,0.5379
285.0000,36.0000,36.0000,-1.3673,0.4046
286.0000,90.0000,90.0000,-3.9040,0.4770
287.0000,83.0000,83.0000,0.3567,0.5181
288.0000,72.0000,72.0000,3.0702,0.4938
289.0000,285.0000,285.0000,-1.3227,0.5045
290.0000,132.0000,132.0000,2.6953,0.5193
291.0000,94.0000,94.0000,-1.3521,0.5351
292.0000,121.0000,121.0000,0.8386,0.5379
293.0000,132.0000,132.0000,-3.6889,0.5065
294.0000,92.0000,92.0000,-2.0804,0.4843
295.0000,169.0000,169.0000,-4.9469,0.5122
296.0000,129.0000,129.0000,0.0760,0.5070
297.0000,123.0000,123.0000,3.0382,0.5111
298.0000,168.0000,168.0000,-3.6318,0.5162
299.0000,167.0000,167.0000,6.4395,0.5061
300.0000,233.0000,233.0000,-0.6753,0.5130
301.0000,183.0000,183.0000,-6.0576,0.5251
